"lang_iso_code","sk"
"Price of SMS messages has changed in the following countries:","Zmena ceny SMS správ pri nasledujúcich štátov:"
"New version available for download:","K dispozícii je nová verzia:"
"Manual:","Manuál (CZ):"
"www.mage-sms.com/manual.html","www.mage-sms.com/cz/index.html"
"Supported Magento versions:","Podporovaná verzia Magenta:"
"Contact form","Kontaktný formulár"
"Remove duplicate numbers","Odstrániť duplicitné čísla"
"Registration type:","Typ účtu:"
"Personal","Osobný"
"Business","Podnikateľský"
"Address","Adresa"
"Billing information","Fakturačné údaje"
"Contact person","Kontaktná osoba"
"Enter the name of the company.","Vyplňte meno firmy."
"Invalid VAT","nesprávne DIČ"
"Statistics","Štatistika"
"Statistics - not active","Štatistika - nie je aktívna"
"day","deň"
"Date from:","Dátum od:"
"to:","do:"
"Removed Customers: ","Odobratý zákazníci: "
"More...","Viac..."
"Saved Filters","Uložené filtre"
"Save filter","Uložiť filter"
"Reset filter","Vynulovať filter"
"Filter Name","Názov filtra"
"Date","Dátum uloženia"
"Filter has been applied.","Filter bol aplikovaný."
"Filter has been saved.","Filter bol uložený."
"Filter has been reset.","Filter bol vynulovaný."
"Are you sure you want to reset the filter?","Naozaj chcete filter vynulovať?"
"Are you sure you want to remove the filter?","Naozaj chcete filter zmazať?"
"No filter has been found.","Žiadny filter nebol nájdený."
"Processing...","Spracovávam..."
"Saved Templates","Uložené šablóny"
"Save template","Uložiť šablónu"
"Template Name","Názov šablóny"
"Template has been loaded.","Šablóna bola načítaná."
"Template has been saved.","Šablóna bola uložená."
"Are you sure you want to remove the template?","Naozaj chcete šablónu zmazať?"
"No template has been found.","Žiadna šablóna nebola nájdená."
"Virtual operators (MVNO)","Virtuálne operátori (MVNO)"
"Select coupon","Vybrať poukaz"
"Create coupon","Vytvoriť poukaz"
"Please Select","Prosím vyberte"
"SIMULATION","SIMULÁCIA"
"DELETED","ZMAZANÉ"
"SCHEDULED","NAPLÁNOVANÉ"
"DO NOT DISTURB registry (DND)","DO NOT DISTURB register (DND)"
"DUPLICATE","DUPLIKÁT"
"Add recipients in CSV(.csv, .txt) or vCARD(.vcf)","Pridajte príjemcu vo formáte CSV (.csv, .txt) alebo vCard (.vcf)"
"Returns","Reklamácie"
"We confirm we have received your request to claim the goods.","Potvrdzujeme Vam prijati poziadavky na reklamaciu."
"New claim from customer was received.","Bola prijata nova reklamacie."
"Status of a claim {return_id} has changed to ","Stav reklamacie {return_id} sa zmenil na "
". Info from {shop_name}.",". Info z {shop_name}."
"Dear Customer, status of your claim {return_id} has changed to ","Vazeny zakaznik, stav Vasej reklamacie {return_id} sa zmenil na "
". Have a nice day, {shop_name}.",". Pekny den, {shop_name}."
"ADD/CHANGE TEXT SENDER ID","PRIDAŤ/ZMENIŤ TEXTOVÉ ČÍSLO"
"Possible variables:","Použiteľné parametre:"
"Delete history","Zmazať históriu"
"Are you sure to delete SMS history?","Naozaj chcete zmazať SMS históriu?"
"SMS history was deleted.","SMS história byla zmazaná."
"Add SMS product to cart:","Pridávať SMS produkt do košíka:"
"Automatically","automaticky"
"Manually","manuálne"
"SMS opt-out - setting Marketing SMS opt-out option for the customer from the user profile","SMS opt-out – nastavenie odhlásenia Marketingových SMS z užívateľského profilu zákazníka"
"Activate displaying Marketing SMS opt-out feature in the user profile","Aktivuj zobrazenie opt-out funkcie pre Marketingové SMS v užívateľskom profile"
